XMS-CASPT2/CAS(14,12)/cc-pVDZ
                   S0        S1         S2      T1      T2
FC                0.000      4.250     4.726   3.711    4.074  
Asym HTI down    0.280      4.263     4.264   3.473    4.170
Asym HTI stag     0.276      4.311     4.311   3.502    4.202
Sym HTI down      0.330      4.317     4.318   3.554    4.168
Asym HTI up      0.317      4.323     4.323   3.507    4.228
Sym HTI up       0.395      4.421     4.421   3.656    4.267
S2/S1 tw          2.889      4.178     4.179   3.743    4.291
S1 min            0.495      3.668     5.014   3.579    3.658
T1 min            1.855      4.358     4.727   3.304    4.734
S1/S0 tw          3.268      3.269     4.634   3.385    4.754
S1/S0 CIpy        3.716      3.718     5.879   3.829    6.096
#   S$_0$ & 0.000 & 0.495 & 1.855 & 0.280 & 0.276 & 0.330 & 0.317 &  0.395 & 2.889 & 3.268 & 3.716\\
#   S$_1$ & 4.250 & 3.668 & 4.358 & 4.263 & 4.311 & 4.317 & 4.323 &  4.421 & 4.178 & 3.269 & 3.718 \\
#   S$_2$ & 4.726 & 5.014 & 4.727 & 4.264 & 4.311 & 4.318 & 4.323 &  4.421 & 4.179 & 4.634 & 5.879 \\
#   T$_1$ & 3.711 & 3.579 & 3.304 & 3.473 & 3.502 & 3.554 & 3.507 &  3.656 & 3.743 & 3.385 & 3.829 \\
#   T$_2$ & 4.074 & 3.658 & 4.734 & 4.170 & 4.202 & 4.168 & 4.228 &  4.267 & 4.291 & 4.754 & 6.096 \\




